empid,gender,age,maritalstatus,joblevel,experience,occupation,emptype,wlb,workenv,physicalactivityhours,workload,stress,sleephours,commutemode,commutedistance,numcompanies,teamsize,numreports,edulevel,haveot,traininghoursperyear,jobsatisfaction,work_schedule_variability,work_schedule_variability_logit,pause_work,pause_work_logit,work_pace,work_pace_pca
6,Male,32,Married,Mid,7,IT,Full-Time,1,1,2.5,2,1,7.6,Car,20,3,12,0,Bachelor,True,33.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
11,Female,34,Married,Mid,12,Finance,Full-Time,1,1,1.8,2,2,7.9,Car,15,4,11,0,Bachelor,False,36.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
33,Female,23,Single,Intern/Fresher,1,Marketing,Full-Time,2,4,2.1,5,4,6.5,Motorbike,17,0,30,0,Bachelor,True,10.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
20,Female,29,Married,Junior,6,IT,Contract,2,2,1.9,3,1,7.5,Public Transport,13,2,9,0,Bachelor,True,23.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
28,Other,23,Single,Junior,1,Sales,Part-Time,3,1,3.7,2,1,4.9,Car,20,0,7,0,Bachelor,False,20.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
45,Female,33,Married,Mid,10,Operations,Part-Time,2,3,1.4,4,2,6.2,Car,8,3,13,0,Bachelor,False,35.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
21,Female,26,Single,Junior,4,Sales,Full-Time,2,2,1.8,1,1,5.8,Car,29,1,8,0,Bachelor,True,22.0,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
44,Male,24,Single,Junior,2,IT,Full-Time,1,3,1.8,4,2,5.7,Car,29,0,10,0,Bachelor,True,21.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
7,Female,29,Married,Junior,7,Marketing,Full-Time,4,3,1.6,1,1,8.2,Car,13,2,8,0,Bachelor,False,23.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
15,Female,24,Single,Mid,2,Marketing,Part-Time,5,5,0.5,4,2,8.5,Bike,9,0,10,0,Bachelor,False,31.0,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
18,Male,40,Single,Mid,14,Customer Service,Full-Time,5,5,0.8,2,1,6.3,Car,8,6,11,0,Bachelor,False,37.0,5,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
32,Male,30,Single,Senior,8,Legal,Full-Time,5,5,2.5,2,1,6.3,Public Transport,19,2,18,2,Bachelor,False,44.0,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
59,Female,29,Single,Junior,7,Legal,Full-Time,5,3,2.1,1,1,6.2,Public Transport,20,2,7,0,Bachelor,False,23.5,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
108,Female,35,Married,Senior,12,Finance,Full-Time,5,3,2.0,1,1,6.8,Public Transport,11,4,21,2,Bachelor,False,46.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
147,Female,29,Single,Mid,7,Finance,Part-Time,4,5,2.7,2,2,8.1,Public Transport,25,2,14,0,Bachelor,False,33.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
151,Male,28,Married,Senior,6,Sales,Full-Time,4,5,1.8,1,3,8.3,Bike,3,2,16,7,Bachelor,False,43.0,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
173,Female,26,Single,Mid,4,Sales,Part-Time,5,5,2.3,2,3,7.8,Walk,2,1,15,0,Bachelor,False,32.0,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
185,Male,30,Married,Mid,8,Finance,Part-Time,5,4,2.2,1,1,5.9,Walk,2,2,12,0,Bachelor,False,34.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
218,Female,45,Single,Mid,9,Operations,Full-Time,5,5,2.1,2,1,6.8,Car,8,7,12,0,Bachelor,False,34.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
323,Male,28,Single,Junior,6,Operations,Full-Time,5,5,2.2,1,1,8.0,Bike,4,2,7,0,Bachelor,False,23.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
338,Male,27,Single,Junior,2,Operations,Full-Time,4,4,2.3,1,1,7.8,Public Transport,20,1,7,0,Bachelor,False,21.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
367,Male,49,Married,Mid,3,Finance,Full-Time,4,4,2.6,2,1,10.0,Bike,2,9,12,0,Bachelor,False,31.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
387,Male,30,Married,Mid,8,Operations,Full-Time,4,5,0.2,1,1,6.3,Car,11,2,12,0,Bachelor,False,34.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
398,Female,24,Single,Junior,1,Finance,Full-Time,5,5,0.0,4,1,8.9,Walk,2,0,9,0,Bachelor,False,20.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
